INFO:root:
Started

INFO:root:Batch 279, Batch Loss 0.067011

INFO:root:Batch 280, Batch Loss 0.596217

INFO:root:Batch 281, Batch Loss 1.320648

INFO:root:Batch 282, Batch Loss 0.162085

INFO:root:Batch 283, Batch Loss 1.952539

INFO:root:Batch 284, Batch Loss 0.765608

INFO:root:Batch 285, Batch Loss 0.729549

INFO:root:Batch 286, Batch Loss 0.946330

INFO:root:Batch 287, Batch Loss 2.601861

INFO:root:Batch 288, Batch Loss 0.279277

INFO:root:Batch 289, Batch Loss 0.202748

INFO:root:Batch 290, Batch Loss 0.402276

INFO:root:Batch 291, Batch Loss 0.040812

INFO:root:Batch 292, Batch Loss 1.009459

INFO:root:Batch 293, Batch Loss 2.079905

INFO:root:Batch 294, Batch Loss 1.126891

INFO:root:Batch 295, Batch Loss 0.672711

INFO:root:Batch 296, Batch Loss 0.011750

INFO:root:Batch 297, Batch Loss 0.603436

INFO:root:Batch 298, Batch Loss 0.000000

INFO:root:Batch 299, Batch Loss 0.572266

INFO:root:Batch 300, Batch Loss 0.332454

INFO:root:Batch 301, Batch Loss 0.306013

INFO:root:Batch 302, Batch Loss 0.151130

INFO:root:Batch 303, Batch Loss 0.663095

INFO:root:Batch 304, Batch Loss 0.041240

INFO:root:Batch 305, Batch Loss 2.090718

INFO:root:Batch 306, Batch Loss 0.000000

INFO:root:Batch 307, Batch Loss 0.239262

INFO:root:Batch 308, Batch Loss 0.393305

INFO:root:Batch 309, Batch Loss 1.359009

INFO:root:Batch 310, Batch Loss 1.329034

INFO:root:Batch 311, Batch Loss 0.365041

INFO:root:Batch 312, Batch Loss 0.640956

INFO:root:Batch 313, Batch Loss 0.091873

INFO:root:Batch 314, Batch Loss 0.546671

INFO:root:Batch 315, Batch Loss 0.351844

INFO:root:Batch 316, Batch Loss 2.706722

INFO:root:Batch 317, Batch Loss 1.323324

INFO:root:Batch 318, Batch Loss 0.000000

INFO:root:Batch 319, Batch Loss 0.242031

INFO:root:Batch 320, Batch Loss 0.132396

INFO:root:Batch 321, Batch Loss 0.074545

INFO:root:Batch 322, Batch Loss 0.460150

INFO:root:Batch 323, Batch Loss 0.089052

INFO:root:Batch 324, Batch Loss 0.587560

INFO:root:Batch 325, Batch Loss 0.562177

INFO:root:Batch 326, Batch Loss 1.000650

INFO:root:Batch 327, Batch Loss 0.324841

INFO:root:Batch 328, Batch Loss 0.260122

INFO:root:Batch 329, Batch Loss 1.192438

